Fecha,D_Close,%D,%W,YoY,SMA20,SMA50,SMA200,SD20,SD50,SD200,Lower20,Higher20,Lower50,Higher50,Lower200,Higher200,Outside20,Outside50,Outside200,Percentile,Location,CP,INT,LT
2015-01-01,7.5968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.187454938716655,NA,NA,NA,NA
2015-01-02,7.5975,9.214406065716219e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.223503965392933,NA,NA,NA,NA
2015-01-05,7.5913,-8.160579137873603e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.043258832011535,NA,NA,NA,NA
2015-01-06,7.5915,2.6345948651584905e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.079307858687816,NA,NA,NA,NA
2015-01-07,7.5926,1.4489890008562156e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.115356885364093,NA,NA,NA,NA
2015-01-08,7.6108,0.002397070832126147,0.0018428812131423555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.80028839221341,NA,NA,NA,NA
2015-01-09,7.6353,0.0032191096862352886,0.004975320829220031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.333093006488824,NA,NA,NA,NA
2015-01-12,7.6565,0.002776577213730924,0.008588779260469304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.64167267483778,NA,NA,NA,NA
2015-01-13,7.672,0.0020244236922875025,0.010603964960811396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.44556596971882,NA,NA,NA,NA
2015-01-14,7.6664,-7.299270072992359e-4,0.009719990517082389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.70583994232156,NA,NA,NA,NA
