Fecha,D_Close,SMA 200,SMA 50,SMA 20,Upper,Lower,%D,%W,%YoY,Location 50 en %,Location 50 Level,MAE 20 (Location 20),MAE 50 (Location),MAE 200 (Location),CP,INT,LT,Percentil %D,Percentil %W,Percentil %W2,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,YoY,SMA20,SMA50,SMA200,SD20,Lower20,Higher20,SD50,Lower50,Higher50,SD200,Lower200,Higher200
2025-08-19,7.6575,7.666239047619047,7.673162000000002,7.695167750000003,7.670944008718501,7.661534086519594,-1.3057387216819372e-4,-0.001043637075207049,-0.009539207760711488,-0.0020411402756780714,0.015662000000002507,4.369523809523823e-4,-3.4614761904774307e-4,-0.001100287500000041,CP-,I-,B-,0.399,0.229,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003288611707981781,7.665455000000006,7.672658000000002,7.694864000000013,0.004931688618676108,7.66052331138133,7.670386688618682,0.00802084249226444,7.664637157507737,7.6806788424922665,0.01867045617194025,7.676193543828073,7.713534456171954
2025-08-18,7.6585,7.666710952380951,7.6736492,7.695490450000002,7.671079029640727,7.662342875121175,-6.528267397831744e-5,-2.610795639971242e-4,-0.009803059609636011,-0.001974184590038303,0.015149199999999752,4.105476190475521e-4,-3.469123809524355e-4,-0.0010920625000001127,CP-,I-,B-,0.445,0.455,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005752032253404593,7.666135000000006,7.673168000000001,7.695166000000014,0.004709707220758369,7.6614252927792474,7.670844707220764,0.007846159596144063,7.665321840403857,7.681014159596145,0.018551158221436846,7.6766148417785764,7.713717158221451
2025-08-16,7.659,7.66736,7.6741268,7.695797300000002,7.671354214599037,7.663365785400964,-5.219887772413001e-4,-2.6106252447455347e-4,-0.009738412685278197,-0.001971142827611344,0.015126799999999996,4.1800000000002946e-4,-3.383399999999703e-4,-0.0010835250000001296,CP-,I-,B-,0.17,0.456,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0062273372221346435,7.666630000000005,7.673656000000002,7.695488500000014,0.004373256043390682,7.662256743956614,7.671003256043396,0.0076721111694186715,7.665983888830583,7.681328111169421,0.018471012676528658,7.677017487323485,7.713959512676543
2025-08-15,7.663,7.667781904761907,7.674515400000002,7.696090750000003,7.6718362897824415,7.663727519741372,0,6.525285481240317e-5,-0.010053198498350291,-0.0015004725901002387,0.011515400000002174,2.390952380953326e-4,-3.3667476190477605e-4,-0.001078767500000044,CP-,I-,B-,0.498,0.572,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0064751697597751345,7.667100000000005,7.674134000000002,7.695795500000013,0.003999210448391868,7.6631007895516134,7.671099210448396,0.0074825404940366495,7.666651459505966,7.681616540494039,0.018371488445099976,7.677424011554914,7.714166988445113
2025-08-14,7.663,7.668176666666667,7.6749198000000005,7.696394300000003,7.672188328482712,7.664165004850621,-3.261365860021126e-4,-3.261365860021126e-4,-0.010053198498350291,-0.0015530846328844058,0.011919800000000258,2.5883333333331926e-4,-3.3715666666669366e-4,-0.0010737250000001364,CP-,I-,B-,0.271,0.432,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0064751697597751345,7.667580000000004,7.674522000000001,7.696089000000013,0.0040569109326912805,7.663523089067312,7.671636910932695,0.007395897649428149,7.667126102350573,7.68191789764943,0.018313720012698608,7.677775279987315,7.714402720012711
2025-08-13,7.6655,7.668280952380953,7.675186400000001,7.6966778000000025,7.672309991021674,7.664251913740232,6.52698909992866e-4,-1.956436676666673e-4,-0.009040221422726424,-0.001262041010496035,0.009686400000001427,1.3904761904766084e-4,-3.4527238095241055e-4,-0.0010745700000000635,CP-,I-,B-,0.873,0.477,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006129574211161781,7.668025000000003,7.674926000000002,7.696392500000013,0.00401600416753829,7.664008995832464,7.672041004167541,0.007304815576881157,7.667621184423121,7.682230815576883,0.01826550951765919,7.678126990482354,7.714658009517673
2025-08-12,7.6605,7.668671904761905,7.675549800000002,7.696987950000001,7.672264486299639,7.665079323224171,-6.526563111863837e-5,-5.740453234875931e-4,-0.00970068023693249,-0.0019607455351279917,0.015049800000002556,4.085952380952662e-4,-3.4389476190486155e-4,-0.0010719074999999468,CP-,I-,B-,0.445,0.337,0.326,NA,Column1,NA,NA,Column1,NA,NA,Column1,NA,NA,Location,NA,0.005262190961104363,7.668315000000002,7.675192000000002,7.6966760000000125,0.004033448961660022,7.664281551038343,7.672348448961662,0.007195912672043348,7.667996087327959,7.682387912672045,0.018223589660121914,7.678452410339891,7.714899589660134
2025-08-11,7.661,7.669270952380951,7.675855098039217,7.697435422885573,7.672378046936794,7.666163857825108,-1.9575856443720951e-4,-5.870458548040691e-4,-0.011076817425495156,-0.0019353020412034851,0.014855098039217474,4.135476190475718e-4,-3.292072829133019e-4,-0.0010790162423178096,CP-,I-,B-,0.357,0.333,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004602735414836356,7.668675000000002,7.675556000000001,7.696986000000013,0.00359691022377473,7.665078089776228,7.672271910223777,0.006891436863297582,7.668664563136703,7.682447436863299,0.018132219691884766,7.6788537803081285,7.715118219691898
2025-08-08,7.6625,7.6698942857142844,7.676086274509805,7.697746616915423,7.672748505996788,7.667040065431781,-3.9136390320271275e-4,-6.521030322792498e-4,-0.010669916876906105,-0.0017699481251170315,0.013586274509805207,3.697142857142399e-4,-3.095994397760204e-4,-0.0010830171202809158,CP-,I-,B-,0.233,0.311,0.293,NA,Mean,3.4277160203196477e-6,NA,Mean,1.7343676778630275e-5,NA,Mean,-1.712675329773797e-4,NA,Mean,2.830561571556052e-5,0.005537839717596249,7.669060000000002,7.675850000000001,7.6972955000000125,0.003111506658230165,7.665948493341771,7.672171506658232,0.006563543405875865,7.669286456594126,7.682413543405877,0.018042953488911252,7.679252546511101,7.715338453488924
2025-08-07,7.6655,7.670213333333333,7.67620117647059,7.69803537313433,7.673191966718311,7.667234699948355,-1.956436676666673e-4,-4.4334911134580324e-4,-0.010139436623355813,-0.0013940719145548064,0.010701176470590212,2.3566666666665625e-4,-2.9939215686285435e-4,-0.0010917098331869823,CP-,I-,B-,0.358,0.388,0.309,NA,Standard Error,1.722629808768299e-5,NA,Standard Error,4.551950403323184e-5,NA,Standard Error,3.813916780177834e-4,NA,Standard Error,6.939917815974605e-5,0.005931525005577143,7.669615000000002,7.676128000000001,7.697608000000013,0.002859568425295575,7.666755431574707,7.672474568425297,0.006274569340453835,7.669853430659547,7.682402569340455,0.017978402341525465,7.679629597658487,7.715586402341539
